User Input,Chatbot Response,Timestamp
"I have rash","Hi there!",2024-12-01 18:22:57
"What can I make for dinner tonight?","How about a delicious stir-fry with vegetables and chicken, served with jasmine rice?",2024-12-01 18:22:56
"I want to try something spicy","How about making a spicy chicken curry with rice? It's full of flavor and heat!",2024-12-01 18:23:13
"I need a healthy dinner idea","Try a grilled salmon with a side of quinoa and steamed veggies. It's light and healthy!",2024-12-01 18:23:43
"What can I make for breakfast?","How about scrambled eggs with spinach and avocado toast? It's a wholesome start to your day.",2024-12-01 18:31:43
"What's a good snack for the afternoon?","Try a handful of mixed nuts or a yogurt parfait with berries and honey for a satisfying snack!",2024-12-01 18:32:07
"What should I cook if I don’t have much time?","A quick pasta with marinara sauce and garlic bread could be a great option when you're short on time!",2024-12-01 18:32:19
"Can you suggest a vegan dinner?","How about a vegan chickpea stew with coconut milk, served with rice? It’s hearty and packed with flavor!",2024-12-01 18:32:23
"What should I cook if I’m craving comfort food?","A warm mac and cheese or a bowl of creamy mashed potatoes with roast chicken would hit the spot!",2024-12-01 18:32:41
"Can you recommend a refreshing drink for summer?","How about a chilled watermelon smoothie or iced lemonade to beat the heat?",2024-12-01 18:46:06
"What can I make for kids who are picky eaters?","Try making mini pizza bites with whole-wheat crust, tomato sauce, cheese, and fun toppings that kids love!",2024-12-01 18:46:58
